order_id,item_price,quantity,item_cat,item_name,created_at,delivery_address1,delivery_zipcode
ORD0001,29.99,2,Pizza,Margherita Pizza,2025-01-03 12:30:00,ul. Dluga 25,80-831
ORD0001,34.99,1,Pizza,Mushroom Pizza,2025-01-03 12:30:00,ul. Dluga 25,80-831
ORD0001,36.99,2,Pizza,Ham Pizza,2025-01-03 12:30:00,ul. Dluga 25,80-831
ORD0002,32.99,1,Pizza,Pepperoni Pizza,2025-01-05 13:00:00,ul. Grunwaldzka 102,80-244
ORD0003,39.99,3,Pizza,Margherita Pizza,2025-01-06 14:45:00,ul. Mariacka 8,80-833
ORD0003,45.99,1,Pizza,Hawaiian Pizza,2025-01-06 14:45:00,ul. Mariacka 8,80-833
ORD0004,48.99,2,Pizza,Ham Pizza,2025-01-07 16:00:00,ul. Swietojanska 15,80-840
ORD0004,29.99,3,Pizza,Margherita Pizza,2025-01-07 16:00:00,ul. Swietojanska 15,80-840
ORD0005,36.99,2,Pizza,Ham Pizza,2025-01-08 17:10:00,ul. Chlebnicka 22,80-830
ORD0006,37.99,1,Pizza,Vegetarian Pizza,2025-01-10 18:30:00,ul. Kartuska 305,80-125
ORD0006,39.99,2,Pizza,Margherita Pizza,2025-01-10 18:30:00,ul. Kartuska 305,80-125
ORD0007,33.99,1,Pizza,Hawaiian Pizza,2025-01-11 11:00:00,ul. Jaskólcza 19,80-767
ORD0008,32.99,1,Pizza,Pepperoni Pizza,2025-01-12 13:50:00,ul. Ogarna 87,80-826
ORD0008,45.99,2,Pizza,Hawaiian Pizza,2025-01-12 13:50:00,ul. Ogarna 87,80-826
ORD0009,29.99,1,Pizza,Margherita Pizza,2025-01-14 14:30:00,ul. Heweliusza 11,80-890
ORD0009,34.99,2,Pizza,Mushroom Pizza,2025-01-14 14:30:00,ul. Heweliusza 11,80-890
ORD0010,46.99,1,Pizza,Mushroom Pizza,2025-01-15 15:20:00,ul. Lawendowa 5,80-840
ORD0011,44.99,2,Pizza,Pepperoni Pizza,2025-01-16 12:10:00,ul. Partyzantów 32,80-254
ORD0011,36.99,1,Pizza,Ham Pizza,2025-01-16 12:10:00,ul. Partyzantów 32,80-254
ORD0012,37.99,3,Pizza,Vegetarian Pizza,2025-01-17 14:00:00,ul. Kolodziejska 3,80-836
ORD0012,48.99,1,Pizza,Ham Pizza,2025-01-17 14:00:00,ul. Kolodziejska 3,80-836
ORD0013,29.99,2,Pizza,Margherita Pizza,2025-01-18 16:45:00,ul. Waly Jagiellonskie 9,80-853
ORD0013,36.99,1,Pizza,Truffle Pizza,2025-01-18 16:45:00,ul. Waly Jagiellonskie 9,80-853
ORD0014,39.99,2,Pizza,Margherita Pizza,2025-01-19 18:15:00,ul. Rajska 12,80-850
ORD0015,36.99,1,Pizza,Ham Pizza,2025-01-21 12:30:00,ul. Piwna 26,80-831
ORD0015,32.99,3,Pizza,Pepperoni Pizza,2025-01-21 12:30:00,ul. Piwna 26,80-831
ORD0016,34.99,1,Pizza,Mushroom Pizza,2025-01-22 17:50:00,ul. Szeroka 41,80-835
ORD0017,46.99,2,Pizza,Mushroom Pizza,2025-01-23 15:40:00,ul. Lastadia 17,80-880
ORD0017,39.99,1,Pizza,Margherita Pizza,2025-01-23 15:40:00,ul. Lastadia 17,80-880
ORD0018,45.99,2,Pizza,Hawaiian Pizza,2025-01-24 13:30:00,ul. Lakowa 60,80-769
ORD0019,33.99,1,Pizza,Hawaiian Pizza,2025-01-25 19:00:00,ul. Straganiarska 15,80-837
ORD0020,32.99,2,Pizza,Pepperoni Pizza,2025-01-26 12:20:00,ul. Zabi Kruk 8,80-822
ORD0020,37.99,1,Pizza,Vegetarian Pizza,2025-01-26 12:20:00,ul. Zabi Kruk 8,80-822
ORD0021,34.99,3,Pizza,Mushroom Pizza,2025-01-28 15:10:00,ul. Czopowa 23,80-882
ORD0021,39.99,1,Pizza,Margherita Pizza,2025-01-28 15:10:00,ul. Czopowa 23,80-882
ORD0022,36.99,1,Pizza,Ham Pizza,2025-01-29 14:00:00,ul. Angielska Grobla 11,80-756
ORD0023,29.99,2,Pizza,Margherita Pizza,2025-01-30 16:40:00,ul. Torunska 18,80-747
ORD0023,44.99,2,Pizza,Pepperoni Pizza,2025-01-30 16:40:00,ul. Torunska 18,80-747
ORD0024,45.99,1,Pizza,Hawaiian Pizza,2025-02-01 18:20:00,ul. Stara Stocznia 25,80-862
ORD0024,33.99,3,Pizza,Hawaiian Pizza,2025-02-01 18:20:00,ul. Stara Stocznia 25,80-862
ORD0025,33.99,2,Pizza,Hawaiian Pizza,2025-02-02 12:00:00,ul. Zielona 9,80-802
ORD0025,37.99,1,Pizza,Vegetarian Pizza,2025-02-02 12:00:00,ul. Zielona 9,80-802
ORD0025,32.99,2,Pizza,Pepperoni Pizza,2025-02-02 12:00:00,ul. Zielona 9,80-802
ORD0025,46.99,1,Pizza,Mushroom Pizza,2025-02-02 12:00:00,ul. Zielona 9,80-802
ORD0026,39.99,1,Pizza,Margherita Pizza,2025-02-03 14:30:00,ul. Walowa 35,80-858
ORD0026,45.99,2,Pizza,Hawaiian Pizza,2025-02-03 14:30:00,ul. Walowa 35,80-858
ORD0026,48.99,1,Pizza,Ham Pizza,2025-02-03 14:30:00,ul. Walowa 35,80-858
ORD0027,29.99,3,Pizza,Margherita Pizza,2025-02-04 13:20:00,ul. Trakt Swietego Wojciecha 195,80-017
ORD0027,33.99,1,Pizza,Hawaiian Pizza,2025-02-04 13:20:00,ul. Trakt Swietego Wojciecha 195,80-017
ORD0027,45.99,2,Pizza,Hawaiian Pizza,2025-02-04 13:20:00,ul. Trakt Swietego Wojciecha 195,80-017
ORD0028,46.99,1,Pizza,Mushroom Pizza,2025-02-05 15:00:00,ul. Chmielna 101,80-748
ORD0028,32.99,3,Pizza,Pepperoni Pizza,2025-02-05 15:00:00,ul. Chmielna 101,80-748
ORD0028,36.99,2,Pizza,Truffle Pizza,2025-02-05 15:00:00,ul. Chmielna 101,80-748
ORD0029,34.99,1,Pizza,Mushroom Pizza,2025-02-06 12:40:00,ul. Szafarnia 5,80-755
ORD0029,37.99,1,Pizza,Vegetarian Pizza,2025-02-06 12:40:00,ul. Szafarnia 5,80-755
ORD0029,45.99,1,Pizza,Hawaiian Pizza,2025-02-06 12:40:00,ul. Szafarnia 5,80-755
ORD0029,36.99,2,Pizza,Ham Pizza,2025-02-06 12:40:00,ul. Szafarnia 5,80-755
ORD0030,45.99,1,Pizza,Hawaiian Pizza,2025-02-07 11:10:00,ul. Nowe Ogrody 23,80-803
ORD0030,29.99,2,Pizza,Margherita Pizza,2025-02-07 11:10:00,ul. Nowe Ogrody 23,80-803
ORD0030,36.99,1,Pizza,Truffle Pizza,2025-02-07 11:10:00,ul. Nowe Ogrody 23,80-803
ORD0030,46.99,3,Pizza,Mushroom Pizza,2025-02-07 11:10:00,ul. Nowe Ogrody 23,80-803
ORD0031,48.99,2,Pizza,Ham Pizza,2025-02-08 14:00:00,ul. Polanki 124,80-308
ORD0031,29.99,3,Pizza,Margherita Pizza,2025-02-08 14:00:00,ul. Polanki 124,80-308
ORD0031,33.99,1,Pizza,Hawaiian Pizza,2025-02-08 14:00:00,ul. Polanki 124,80-308
ORD0032,34.99,2,Pizza,Mushroom Pizza,2025-02-09 15:20:00,ul. Wita Stwosza 58,80-308
ORD0032,36.99,1,Pizza,Ham Pizza,2025-02-09 15:20:00,ul. Wita Stwosza 58,80-308
ORD0032,32.99,2,Pizza,Pepperoni Pizza,2025-02-09 15:20:00,ul. Wita Stwosza 58,80-308
ORD0032,37.99,1,Pizza,Vegetarian Pizza,2025-02-09 15:20:00,ul. Wita Stwosza 58,80-308
ORD0033,36.99,1,Pizza,Truffle Pizza,2025-02-10 12:30:00,ul. Gospody 6,80-344
ORD0033,46.99,2,Pizza,Mushroom Pizza,2025-02-10 12:30:00,ul. Gospody 6,80-344
ORD0033,32.99,2,Pizza,Pepperoni Pizza,2025-02-10 12:30:00,ul. Gospody 6,80-344
ORD0033,39.99,1,Pizza,Margherita Pizza,2025-02-10 12:30:00,ul. Gospody 6,80-344
ORD0034,37.99,1,Pizza,Vegetarian Pizza,2025-02-11 14:40:00,ul. Pomorska 94,80-333
ORD0034,39.99,1,Pizza,Margherita Pizza,2025-02-11 14:40:00,ul. Pomorska 94,80-333
ORD0034,45.99,2,Pizza,Hawaiian Pizza,2025-02-11 14:40:00,ul. Pomorska 94,80-333
ORD0035,36.99,3,Pizza,Truffle Pizza,2025-02-12 16:00:00,ul. Jelitkowska 15,80-342
ORD0035,48.99,1,Pizza,Ham Pizza,2025-02-12 16:00:00,ul. Jelitkowska 15,80-342
ORD0035,45.99,2,Pizza,Hawaiian Pizza,2025-02-12 16:00:00,ul. Jelitkowska 15,80-342
ORD0036,29.99,3,Pizza,Margherita Pizza,2025-02-13 14:00:00,ul. Subislawa 23,80-354
ORD0036,37.99,2,Pizza,Vegetarian Pizza,2025-02-13 14:00:00,ul. Subislawa 23,80-354
ORD0036,36.99,1,Pizza,Ham Pizza,2025-02-13 14:00:00,ul. Subislawa 23,80-354
ORD0037,32.99,2,Pizza,Pepperoni Pizza,2025-02-14 15:00:00,ul. Piastowska 70,80-363
ORD0037,45.99,1,Pizza,Hawaiian Pizza,2025-02-14 15:00:00,ul. Piastowska 70,80-363
ORD0037,36.99,3,Pizza,Truffle Pizza,2025-02-14 15:00:00,ul. Piastowska 70,80-363
ORD0038,39.99,1,Pizza,Margherita Pizza,2025-02-15 13:30:00,ul. Obronców Wybrzeza 11,80-398
ORD0038,36.99,2,Pizza,Ham Pizza,2025-02-15 13:30:00,ul. Obronców Wybrzeza 11,80-398
ORD0038,46.99,3,Pizza,Mushroom Pizza,2025-02-15 13:30:00,ul. Obronców Wybrzeza 11,80-398
ORD0039,37.99,2,Pizza,Vegetarian Pizza,2025-02-16 14:20:00,ul. Kolobrzeska 9,80-394
ORD0039,48.99,1,Pizza,Ham Pizza,2025-02-16 14:20:00,ul. Kolobrzeska 9,80-394
ORD0039,36.99,2,Pizza,Truffle Pizza,2025-02-16 14:20:00,ul. Kolobrzeska 9,80-394
ORD0040,36.99,1,Pizza,Ham Pizza,2025-02-17 12:30:00,ul. Leborska 18,80-386
ORD0040,32.99,2,Pizza,Pepperoni Pizza,2025-02-17 12:30:00,ul. Leborska 18,80-386
